№,well,oil_start,q_start,p_start,oil_end,q_end,p_end,duration_days_oil,ppd_well,ppd_start,ppd_end,duration_days_ppd,delta_PPD,deltaQpr,CI_none,oil_well
463,1994,2024-07-22,84.0,30.6,2024-07-28,84.0,31.1,7,688,2024-07-22,2025-04-29,282,23,23,0.0,1994
464,5505,2023-08-06,38.0,21.5,2023-08-12,38.0,21.4,7,1447,2023-08-06,2023-10-05,61,56,56,0.0,5505
465,5505,2023-10-06,37.0,22.1,2023-10-12,34.0,22.1,7,1447,2023-10-06,2024-06-03,242,-66,-66,0.0,5505
466,5505,2024-06-04,64.0,25.0,2024-07-03,47.0,15.0,30,1447,2024-06-04,2024-10-07,126,10,10,0.0,5505
467,5505,2024-10-08,37.0,32.0,2024-10-14,37.0,33.0,7,1447,2024-10-08,2025-03-06,150,-14,-14,-0.0,5505
468,5505,2025-03-07,36.0,34.0,2025-03-13,38.0,34.0,7,1447,2025-03-07,2025-05-01,56,-172,-172,-0.0,5505
469,5505,2023-08-01,37.0,21.4,2023-08-07,38.0,21.5,7,1459,2023-08-01,2023-10-01,62,14,14,0.4,5505
470,5505,2023-10-02,32.0,21.6,2023-10-08,40.0,22.0,7,1459,2023-10-02,2023-11-27,57,-15,-15,0.0,5505
471,5505,2023-11-28,35.0,23.5,2023-12-04,35.0,23.5,7,1459,2023-11-28,2023-12-05,8,-89,-89,-0.0,5505
472,5505,2023-12-06,36.0,23.5,2023-12-12,34.0,23.5,7,1459,2023-12-06,2024-02-16,73,92,92,0.0,5505
473,5505,2024-02-17,35.0,22.0,2024-02-23,32.0,22.0,7,1459,2024-02-17,2024-03-13,26,-60,-60,4.3,5505
474,5505,2024-03-14,25.0,24.0,2024-03-20,31.0,24.0,7,1459,2024-03-14,2024-04-10,28,61,61,8.8,5505
475,5505,2024-04-11,0.0,0.0,2024-04-17,0.0,0.0,7,1459,2024-04-11,2024-04-25,15,-70,-70,-0.0,5505
476,5505,2024-04-26,0.0,0.0,2024-05-02,0.0,0.0,7,1459,2024-04-26,2024-05-02,7,76,76,0.0,5505
477,5505,2024-05-03,0.0,0.0,2024-05-09,0.0,0.0,7,1459,2024-05-03,2024-05-25,23,-62,-62,-0.0,5505
478,5505,2024-05-26,96.0,34.3,2024-06-06,57.0,25.0,12,1459,2024-05-26,2024-06-06,12,95,95,0.0,5505
479,5505,2024-06-07,56.0,24.0,2024-07-06,36.0,20.0,30,1459,2024-06-07,2024-09-13,99,24,24,0.0,5505
480,5505,2024-09-14,31.0,32.0,2024-09-20,34.0,32.0,7,1459,2024-09-14,2024-09-30,17,0,0,0.0,5505
481,5505,2024-10-01,34.0,32.0,2024-10-07,34.0,32.0,7,1459,2024-10-01,2024-12-08,69,-56,-56,-0.0,5505
482,5505,2024-12-09,30.0,48.0,2024-12-15,34.0,48.0,7,1459,2024-12-09,2025-01-02,25,-2,-2,-0.0,5505
483,5505,2025-01-03,34.0,45.6,2025-01-17,52.0,34.0,15,1459,2025-01-03,2025-01-17,15,-79,-79,91.3,5505
484,5505,2025-01-18,56.0,34.0,2025-01-24,53.0,34.0,7,1459,2025-01-18,2025-05-01,104,74,74,0.0,5505
485,5505,2023-07-29,36.0,21.5,2023-08-04,38.0,21.6,7,5508,2023-07-29,2023-08-10,13,-215,-215,0.0,5505
486,5505,2023-08-11,37.0,21.5,2023-08-17,32.0,21.8,7,5508,2023-08-11,2023-09-17,38,17,17,0.4,5505
487,5505,2023-09-18,33.0,21.4,2023-09-24,34.0,21.4,7,5508,2023-09-18,2023-10-16,29,64,64,1.2,5505
488,5505,2023-10-17,36.0,22.1,2023-10-23,36.0,22.3,7,5508,2023-10-17,2023-10-29,13,-66,-66,-0.0,5505
489,5505,2023-10-30,35.0,22.2,2023-11-05,35.0,22.7,7,5508,2023-10-30,2023-11-20,22,-7,-7,-0.0,5505
490,5505,2023-11-21,36.0,23.3,2023-11-27,35.0,23.5,7,5508,2023-11-21,2024-01-13,54,11,11,0.2,5505
491,5505,2024-01-14,28.0,23.9,2024-01-20,33.0,23.0,7,5508,2024-01-14,2024-01-24,11,-1,-1,0.1,5505
492,5505,2024-01-25,34.0,24.0,2024-01-31,34.0,23.0,7,5508,2024-01-25,2024-02-07,14,0,0,0.0,5505
493,5505,2024-02-08,31.0,22.0,2024-02-14,34.0,22.0,7,5508,2024-02-08,2024-03-14,36,18,18,1.0,5505
494,5505,2024-03-15,22.0,24.0,2024-03-21,31.0,24.0,7,5508,2024-03-15,2024-04-02,19,136,136,23.3,5505
495,5505,2024-04-03,0.0,0.0,2024-04-09,0.0,0.0,7,5508,2024-04-03,2024-05-17,45,-136,-136,-0.0,5505
496,5505,2024-05-18,100.0,88.0,2024-06-08,48.0,28.0,22,5508,2024-05-18,2024-06-08,22,32,32,0.0,5505
497,5505,2024-06-09,46.0,30.0,2024-06-15,49.0,28.0,7,5508,2024-06-09,2024-07-14,36,-32,-32,5.1,5505
498,5505,2024-07-15,34.0,26.0,2024-07-21,32.0,27.0,7,5508,2024-07-15,2024-10-19,97,-8,-8,0.8,5505
499,5505,2024-10-20,34.0,34.0,2024-10-26,35.0,34.0,7,5508,2024-10-20,2024-11-07,19,35,35,0.7,5505
500,5505,2024-11-08,31.0,48.0,2024-11-25,29.0,46.0,18,5508,2024-11-08,2024-11-25,18,-61,-61,8.1,5505
501,5505,2024-11-26,31.0,48.0,2024-12-02,32.0,48.0,7,5508,2024-11-26,2024-12-03,8,17,17,0.3,5505
502,5505,2024-12-04,28.0,48.0,2024-12-10,34.0,48.0,7,5508,2024-12-04,2024-12-19,16,-13,-13,-0.0,5505
503,5505,2024-12-20,37.0,48.0,2024-12-26,36.0,48.0,7,5508,2024-12-20,2025-01-01,13,18,18,0.0,5505
504,5505,2025-01-02,33.0,46.8,2025-01-31,52.0,34.0,30,5508,2025-01-02,2025-03-21,79,100,100,90.4,5505
505,5505,2025-03-22,37.0,34.0,2025-03-28,38.0,34.0,7,5508,2025-03-22,2025-05-01,41,-156,-156,-0.0,5505
506,5505,2023-07-03,35.0,21.8,2023-07-09,35.0,21.9,7,5517,2023-07-03,2023-09-18,78,144,144,0.0,5505
507,5505,2023-09-19,33.0,21.3,2023-09-25,36.0,21.4,7,5517,2023-09-19,2023-09-27,9,0,0,0.0,5505
508,5505,2023-09-28,35.0,21.5,2023-10-04,37.0,21.7,7,5517,2023-09-28,2023-10-13,16,-3,-3,0.0,5505
509,5505,2023-10-14,34.0,22.1,2023-10-20,32.0,22.2,7,5517,2023-10-14,2023-10-23,10,-82,-82,0.0,5505
510,5505,2023-10-24,32.0,22.2,2023-10-30,35.0,22.2,7,5517,2023-10-24,2024-02-03,103,97,97,0.0,5505
511,5505,2024-02-04,35.0,23.0,2024-02-10,33.0,22.0,7,5517,2024-02-04,2024-03-14,40,-91,-91,0.0,5505
512,5505,2024-03-15,22.0,24.0,2024-03-21,31.0,24.0,7,5517,2024-03-15,2024-05-03,50,91,91,0.0,5505
513,5505,2024-05-04,0.0,0.0,2024-05-10,0.0,0.0,7,5517,2024-05-04,2024-06-01,29,17,17,0.0,5505
514,5505,2024-06-02,70.0,25.0,2024-07-01,49.0,17.0,30,5517,2024-06-02,2024-07-23,52,-9,-9,0.0,5505
515,5505,2024-07-24,36.0,27.0,2024-07-30,35.0,28.0,7,5517,2024-07-24,2024-08-30,38,5,5,0.0,5505
516,5505,2024-08-31,35.0,32.0,2024-09-06,34.0,32.0,7,5517,2024-08-31,2024-09-27,28,-6,-6,0.0,5505
517,5505,2024-09-28,37.0,32.0,2024-10-04,35.0,31.0,7,5517,2024-09-28,2024-10-25,28,2,2,0.0,5505
518,5505,2024-10-26,35.0,34.0,2024-11-01,35.0,34.0,7,5517,2024-10-26,2025-04-05,162,-41,-41,-0.0,5505
519,5505,2025-04-06,41.0,34.0,2025-04-12,37.0,34.0,7,5517,2025-04-06,2025-05-01,26,81,81,0.0,5505
520,595,2023-10-15,31.0,233.0,2023-10-21,29.0,233.0,7,625,2023-10-15,2023-10-22,8,131,131,0.0,595
521,595,2023-10-23,29.0,233.0,2023-10-29,29.0,233.0,7,625,2023-10-23,2023-11-16,25,-59,-59,-0.0,595
522,595,2023-11-17,30.0,233.0,2023-11-23,30.0,233.0,7,625,2023-11-17,2024-07-31,258,82,82,0.0,595
523,595,2024-08-01,97.0,151.0,2024-08-30,92.0,119.6,30,625,2024-08-01,2024-11-18,110,21,21,0.0,595
524,595,2024-11-19,91.0,81.5,2024-12-18,71.0,63.6,30,625,2024-11-19,2025-03-10,112,79,79,0.0,595
525,595,2025-03-11,72.0,43.1,2025-03-17,78.0,43.0,7,625,2025-03-11,2025-04-02,23,-18,-18,0.3,595
526,595,2025-04-03,63.0,40.3,2025-04-09,64.0,39.4,7,625,2025-04-03,2025-05-01,29,-74,-74,10.8,595
527,595,2023-10-14,31.0,233.0,2023-10-20,29.0,233.0,7,627,2023-10-14,2023-11-17,35,0,0,0.0,595
528,595,2023-11-18,29.0,233.0,2023-11-24,29.0,233.0,7,627,2023-11-18,2024-02-10,85,0,0,0.0,595
529,595,2024-02-11,26.0,233.0,2024-02-17,29.0,233.0,7,627,2024-02-11,2024-04-01,51,0,0,0.0,595
530,595,2024-04-02,31.0,233.0,2024-04-08,31.0,233.0,7,627,2024-04-02,2024-04-14,13,-88,-88,-0.0,595
531,595,2024-04-15,30.0,233.0,2024-04-21,31.0,233.0,7,627,2024-04-15,2024-07-21,98,50,50,0.0,595
532,595,2024-07-22,95.0,173.0,2024-08-20,97.0,128.2,30,627,2024-07-22,2024-08-29,39,18,18,0.0,595
533,595,2024-08-30,92.0,119.6,2024-09-28,85.0,98.9,30,627,2024-08-30,2025-01-15,139,-17,-17,0.0,595
534,595,2025-01-16,62.0,56.9,2025-01-22,65.0,57.2,7,627,2025-01-16,2025-01-23,8,20,20,0.0,595
535,595,2025-01-24,65.0,56.5,2025-01-30,75.0,58.1,7,627,2025-01-24,2025-02-27,35,38,38,0.0,595
536,595,2025-02-28,67.0,49.3,2025-03-10,73.0,43.5,11,627,2025-02-28,2025-03-10,11,-70,-70,0.0,595
537,595,2025-03-11,72.0,43.1,2025-03-17,78.0,43.0,7,627,2025-03-11,2025-05-01,52,43,43,0.0,595
538,595,2023-08-23,26.0,233.0,2023-08-29,16.0,233.0,7,682,2023-08-23,2023-10-13,52,21,21,0.0,595
539,595,2023-10-14,31.0,233.0,2023-10-20,29.0,233.0,7,682,2023-10-14,2023-10-22,9,-5,-5,0.0,595
540,595,2023-10-23,29.0,233.0,2023-10-29,29.0,233.0,7,682,2023-10-23,2023-11-12,21,0,0,0.0,595
541,595,2023-11-13,36.0,233.0,2023-11-19,30.0,233.0,7,682,2023-11-13,2024-03-15,124,202,202,0.0,595
542,595,2024-03-16,30.0,233.0,2024-03-22,30.0,233.0,7,682,2024-03-16,2024-04-03,19,2,2,0.0,595
543,595,2024-04-04,31.0,233.0,2024-04-10,31.0,233.0,7,682,2024-04-04,2024-04-22,19,-74,-74,-0.0,595
544,595,2024-04-23,0.0,0.0,2024-04-29,0.0,0.0,7,682,2024-04-23,2024-05-24,32,142,142,0.0,595
545,595,2024-05-25,0.0,0.0,2024-05-31,0.0,0.0,7,682,2024-05-25,2024-06-01,8,-151,-151,-0.0,595
546,595,2024-06-02,0.0,0.0,2024-06-08,0.0,0.0,7,682,2024-06-02,2024-06-18,17,47,47,0.0,595
547,595,2024-06-19,0.0,0.0,2024-06-25,0.0,0.0,7,682,2024-06-19,2024-07-02,14,-90,-90,-0.0,595
548,595,2024-07-03,0.0,0.0,2024-07-24,95.0,169.0,22,682,2024-07-03,2024-07-24,22,-3,-3,0.0,595
549,595,2024-07-25,94.0,165.7,2024-08-12,102.0,136.3,19,682,2024-07-25,2024-08-12,19,98,98,0.0,595
550,595,2024-08-13,101.0,135.2,2024-08-19,98.0,129.3,7,682,2024-08-13,2024-08-19,7,61,61,0.0,595
551,595,2024-08-20,97.0,128.2,2024-09-18,92.0,104.8,30,682,2024-08-20,2024-10-16,58,-73,-73,0.0,595
552,595,2024-10-17,80.0,91.8,2024-10-23,80.0,89.8,7,682,2024-10-17,2024-11-04,19,-70,-70,0.0,595
553,595,2024-11-05,77.0,86.7,2024-11-11,74.0,85.0,7,682,2024-11-05,2024-12-13,39,56,56,0.0,595
554,595,2024-12-14,74.0,64.9,2025-01-12,72.0,55.2,30,682,2024-12-14,2025-02-07,56,-48,-48,0.0,595
555,595,2025-02-08,66.0,54.8,2025-02-14,64.0,54.6,7,682,2025-02-08,2025-05-01,83,-157,-157,0.0,595
556,595,2023-08-16,29.0,233.0,2023-08-22,26.0,233.0,7,684,2023-08-16,2023-08-22,7,-1,-1,0.0,595
557,595,2023-08-23,26.0,233.0,2023-08-29,16.0,233.0,7,684,2023-08-23,2023-09-21,30,0,0,0.0,595
558,595,2023-09-22,35.0,233.0,2023-09-28,34.0,233.0,7,684,2023-09-22,2024-03-17,178,-134,-134,0.0,595
559,595,2024-03-18,30.0,233.0,2024-03-24,32.0,233.0,7,684,2024-03-18,2024-04-08,22,10,10,0.0,595
560,595,2024-04-09,29.0,233.0,2024-04-15,30.0,233.0,7,684,2024-04-09,2024-04-26,18,8,8,0.0,595
561,595,2024-04-27,0.0,0.0,2024-05-03,0.0,0.0,7,684,2024-04-27,2024-06-26,61,126,126,0.0,595
562,595,2024-06-27,0.0,0.0,2024-07-03,0.0,0.0,7,684,2024-06-27,2024-07-21,25,-45,-45,-0.0,595
563,595,2024-07-22,95.0,173.0,2024-07-30,96.0,155.6,9,684,2024-07-22,2024-07-30,9,63,63,0.0,595
564,595,2024-07-31,98.0,153.5,2024-08-29,90.0,120.4,30,684,2024-07-31,2024-09-03,35,-34,-34,0.0,595
565,595,2024-09-04,95.0,114.6,2024-10-03,83.0,96.9,30,684,2024-09-04,2024-11-20,78,-17,-17,0.0,595
566,595,2024-11-21,73.0,80.0,2024-12-20,80.0,61.8,30,684,2024-11-21,2025-03-14,114,24,24,0.0,595
567,595,2025-03-15,71.0,43.0,2025-03-21,66.0,41.8,7,684,2025-03-15,2025-04-27,44,-47,-47,0.0,595
568,595,2023-09-09,38.0,233.0,2023-09-15,38.0,233.0,7,685,2023-09-09,2024-02-24,169,-55,-55,-0.0,595
569,595,2024-02-25,30.0,233.0,2024-03-02,28.0,233.0,7,685,2024-02-25,2024-03-16,21,-37,-37,0.0,595
570,595,2024-03-17,31.0,233.0,2024-03-23,31.0,233.0,7,685,2024-03-17,2024-04-08,23,26,26,0.0,595
571,595,2024-04-09,29.0,233.0,2024-04-15,30.0,233.0,7,685,2024-04-09,2024-04-30,22,-97,-97,-0.0,595
572,595,2024-05-01,0.0,0.0,2024-05-07,0.0,0.0,7,685,2024-05-01,2024-05-15,15,59,59,0.0,595
573,595,2024-05-16,0.0,0.0,2024-05-22,0.0,0.0,7,685,2024-05-16,2024-06-09,25,1,1,0.0,595
574,595,2024-06-10,0.0,0.0,2024-06-16,0.0,0.0,7,685,2024-06-10,2024-07-24,45,-28,-28,-0.0,595
575,595,2024-07-25,94.0,165.7,2024-08-23,95.0,125.5,30,685,2024-07-25,2024-12-14,143,62,62,0.0,595
576,595,2024-12-15,77.0,64.4,2025-01-05,71.0,57.7,22,685,2024-12-15,2025-01-05,22,-21,-21,0.0,595
577,595,2025-01-06,70.0,57.7,2025-01-12,72.0,55.2,7,685,2025-01-06,2025-02-07,33,-22,-22,0.0,595
578,595,2025-02-08,66.0,54.8,2025-02-14,64.0,54.6,7,685,2025-02-08,2025-02-16,9,-13,-13,0.0,595
579,595,2025-02-17,64.0,55.3,2025-02-23,58.0,54.9,7,685,2025-02-17,2025-02-23,7,71,71,0.0,595
580,595,2025-02-24,61.0,55.1,2025-03-08,69.0,44.3,13,685,2025-02-24,2025-03-08,13,40,40,0.0,595
581,595,2025-03-09,71.0,44.1,2025-03-15,71.0,43.0,7,685,2025-03-09,2025-04-22,45,-71,-71,0.0,595
582,595,2025-04-23,58.0,41.9,2025-05-01,0.0,0.0,9,685,2025-04-23,2025-05-01,9,-25,-25,0.0,595
583,601,2023-10-16,117.0,136.7,2023-11-01,125.0,127.8,17,575,2023-10-16,2023-11-01,17,0,0,0.0,601
584,601,2023-11-02,118.0,127.4,2023-11-08,120.0,124.5,7,575,2023-11-02,2023-11-17,16,-119,-119,0.0,601
585,601,2023-11-18,127.0,118.9,2023-12-17,122.0,102.9,30,575,2023-11-18,2024-02-18,93,119,119,0.0,601
586,601,2024-02-19,112.0,66.1,2024-02-25,112.0,64.6,7,575,2024-02-19,2024-04-11,53,104,104,0.0,601
587,601,2024-04-12,92.0,52.5,2024-04-18,93.0,51.2,7,575,2024-04-12,2025-04-04,358,-83,-83,0.0,601
588,601,2025-04-05,90.0,31.5,2025-04-11,97.0,30.9,7,575,2025-04-05,2025-05-01,27,54,54,0.0,601
589,601,2023-09-15,132.0,164.7,2023-10-14,128.0,137.7,30,577,2023-09-15,2023-11-29,76,-30,-30,0.0,601
590,601,2023-11-30,126.0,112.4,2023-12-29,124.0,94.3,30,577,2023-11-30,2024-02-11,74,77,77,0.0,601
591,601,2024-02-12,112.0,69.8,2024-02-18,112.0,67.2,7,577,2024-02-12,2024-05-19,98,-60,-60,0.0,601
592,601,2024-05-20,92.0,45.7,2024-05-26,93.0,44.4,7,577,2024-05-20,2024-07-08,50,118,118,0.0,601
593,601,2024-07-09,88.0,41.6,2024-07-15,88.0,41.3,7,577,2024-07-09,2024-08-28,51,-55,-55,0.0,601
594,601,2024-08-29,78.0,45.7,2024-09-27,77.0,39.7,30,577,2024-08-29,2024-10-13,46,-48,-48,0.0,601
595,601,2024-10-14,80.0,59.9,2024-11-12,94.0,92.3,30,577,2024-10-14,2025-04-30,199,-87,-87,0.0,601
596,601,2023-10-14,128.0,137.7,2023-11-12,125.0,122.4,30,627,2023-10-14,2023-11-17,35,0,0,0.0,601
597,601,2023-11-18,127.0,118.9,2023-12-17,122.0,102.9,30,627,2023-11-18,2024-02-10,85,0,0,0.0,601
598,601,2024-02-11,112.0,70.2,2024-02-17,112.0,67.4,7,627,2024-02-11,2024-04-01,51,0,0,0.0,601
599,601,2024-04-02,100.0,54.9,2024-04-08,102.0,53.2,7,627,2024-04-02,2024-04-14,13,-88,-88,0.0,601
600,601,2024-04-15,96.0,51.4,2024-04-21,93.0,51.2,7,627,2024-04-15,2024-07-21,98,50,50,0.0,601
601,601,2024-07-22,88.0,40.6,2024-07-28,87.0,41.1,7,627,2024-07-22,2024-08-29,39,18,18,0.0,601
602,601,2024-08-30,79.0,46.8,2024-09-28,73.0,40.0,30,627,2024-08-30,2025-01-15,139,-17,-17,0.0,601
603,601,2025-01-16,108.0,32.1,2025-01-22,109.0,33.1,7,627,2025-01-16,2025-01-23,8,20,20,0.0,601
604,601,2025-01-24,108.0,33.0,2025-01-30,115.0,32.0,7,627,2025-01-24,2025-02-27,35,38,38,0.0,601
605,601,2025-02-28,88.0,32.9,2025-03-06,85.0,32.2,7,627,2025-02-28,2025-03-10,11,-70,-70,0.0,601
606,601,2025-03-11,83.0,31.9,2025-03-17,91.0,31.8,7,627,2025-03-11,2025-05-01,52,43,43,0.0,601
607,601,2024-02-11,112.0,70.2,2024-02-17,112.0,67.4,7,629,2024-02-11,2024-03-01,20,-185,-185,31.5,601
608,601,2024-03-02,112.0,64.0,2024-03-08,112.0,61.1,7,629,2024-03-02,2024-06-26,117,177,177,0.0,601
609,601,2024-06-27,92.0,41.7,2024-07-03,86.0,41.7,7,629,2024-06-27,2024-07-21,25,-46,-46,6.7,601
610,601,2024-07-22,88.0,40.6,2024-07-28,87.0,41.1,7,629,2024-07-22,2024-09-07,48,49,49,2.5,601
611,601,2024-09-08,0.0,0.0,2024-10-05,72.0,36.3,28,629,2024-09-08,2024-10-05,28,207,207,820.5,601
612,601,2024-10-06,71.0,35.2,2024-10-26,61.0,77.4,21,629,2024-10-06,2024-10-26,21,0,0,0.0,601
613,601,2024-10-27,58.0,76.6,2024-11-25,94.0,56.7,30,629,2024-10-27,2024-12-18,53,-383,-383,773.5,601
614,601,2024-12-19,90.0,38.3,2024-12-25,89.0,36.9,7,629,2024-12-19,2025-04-01,104,40,40,0.0,601
615,601,2025-04-02,88.0,31.3,2025-04-08,97.0,31.0,7,629,2025-04-02,2025-04-23,22,-36,-36,1.1,601
616,601,2023-09-14,125.0,166.1,2023-10-13,128.0,138.2,30,631,2023-09-14,2023-11-22,70,-92,-92,545.7,601
617,601,2023-11-23,127.0,116.3,2023-11-29,124.0,113.1,7,631,2023-11-23,2023-11-29,7,-131,-131,73.5,601
618,601,2023-11-30,126.0,112.4,2023-12-29,124.0,94.3,30,631,2023-11-30,2024-02-11,74,-60,-60,144.6,601
619,601,2024-02-12,112.0,69.8,2024-02-18,112.0,67.2,7,631,2024-02-12,2024-05-20,99,-55,-55,18.2,601
620,601,2024-05-21,92.0,45.5,2024-05-27,93.0,44.1,7,631,2024-05-21,2024-06-12,23,176,176,22.4,601
621,601,2024-06-13,94.0,42.8,2024-06-19,94.0,42.0,7,631,2024-06-13,2024-06-19,7,-211,-211,21.5,601
622,601,2024-06-20,94.0,42.1,2024-06-26,94.0,41.8,7,631,2024-06-20,2024-08-07,49,24,24,0.0,601
623,601,2024-08-08,84.0,41.6,2024-08-14,83.0,41.6,7,631,2024-08-08,2024-08-26,19,-1,-1,0.1,601
624,601,2024-08-27,78.0,45.4,2024-09-02,69.0,47.6,7,631,2024-08-27,2024-10-13,48,26,26,12.2,601
625,601,2024-10-14,80.0,59.9,2024-11-12,94.0,92.3,30,631,2024-10-14,2025-04-30,199,-79,-79,0.0,601
626,601,2023-10-11,130.0,139.4,2023-11-09,122.0,123.9,30,688,2023-10-11,2024-01-23,105,183,183,0.0,601
627,601,2024-01-24,120.0,78.9,2024-02-22,112.0,65.4,30,688,2024-01-24,2024-03-21,58,-144,-144,0.0,601
628,601,2024-03-22,106.0,57.2,2024-03-28,101.0,55.1,7,688,2024-03-22,2024-04-14,24,-22,-22,0.0,601
629,601,2024-04-15,96.0,51.4,2024-04-21,93.0,51.2,7,688,2024-04-15,2024-06-26,73,105,105,0.0,601
630,601,2024-06-27,92.0,41.7,2024-07-03,86.0,41.7,7,688,2024-06-27,2024-07-21,25,-38,-38,0.0,601
631,601,2024-07-22,88.0,40.6,2024-07-28,87.0,41.1,7,688,2024-07-22,2025-04-29,282,23,23,0.0,601
632,624,2023-10-15,46.0,17.2,2023-10-21,46.0,17.0,7,625,2023-10-15,2023-10-22,8,131,131,0.0,624
633,624,2023-10-23,46.0,16.7,2023-10-29,44.0,16.2,7,625,2023-10-23,2023-11-16,25,-59,-59,6.2,624
634,624,2023-11-17,44.0,14.4,2023-11-23,44.0,14.2,7,625,2023-11-17,2024-07-31,258,82,82,0.0,624
635,624,2024-08-01,48.0,10.6,2024-08-07,49.0,10.4,7,625,2024-08-01,2024-11-18,110,21,21,1.7,624
636,624,2024-11-19,48.0,7.1,2024-11-25,49.0,6.7,7,625,2024-11-19,2025-03-10,112,79,79,6.4,624
637,624,2025-03-11,48.0,2.1,2025-03-17,41.0,2.3,7,625,2025-03-11,2025-04-02,23,-18,-18,10.2,624
638,624,2025-04-03,47.0,2.6,2025-04-09,47.0,2.6,7,625,2025-04-03,2025-05-01,29,-74,-74,-0.0,624
639,624,2023-10-14,47.0,17.5,2023-10-20,47.0,17.0,7,627,2023-10-14,2023-11-17,35,0,0,0.0,624
640,624,2023-11-18,43.0,14.4,2023-11-24,45.0,14.2,7,627,2023-11-18,2024-02-10,85,0,0,0.0,624
641,624,2024-02-11,48.0,9.8,2024-02-17,46.0,11.0,7,627,2024-02-11,2024-04-01,51,0,0,0.0,624
642,624,2024-04-02,51.0,19.4,2024-04-14,50.0,9.5,13,627,2024-04-02,2024-04-14,13,-88,-88,0.0,624
643,624,2024-04-15,50.0,9.5,2024-04-21,50.0,8.7,7,627,2024-04-15,2024-07-21,98,50,50,0.0,624
644,624,2024-07-22,49.0,10.7,2024-07-28,47.0,10.7,7,627,2024-07-22,2024-08-29,39,18,18,0.0,624
645,624,2024-08-30,43.0,10.6,2024-09-05,47.0,10.8,7,627,2024-08-30,2025-01-15,139,-17,-17,0.0,624
646,624,2025-01-16,50.0,4.0,2025-01-22,49.0,4.1,7,627,2025-01-16,2025-01-23,8,20,20,0.0,624
647,624,2025-01-24,50.0,3.1,2025-01-30,49.0,2.8,7,627,2025-01-24,2025-02-27,35,38,38,0.0,624
648,624,2025-02-28,50.0,3.1,2025-03-06,48.0,2.4,7,627,2025-02-28,2025-03-10,11,-70,-70,0.0,624
649,624,2025-03-11,48.0,2.1,2025-03-17,41.0,2.3,7,627,2025-03-11,2025-05-01,52,43,43,0.0,624
650,624,2023-08-23,42.0,20.5,2023-08-29,44.0,20.3,7,682,2023-08-23,2023-10-13,52,21,21,0.0,624
651,624,2023-10-14,47.0,17.5,2023-10-20,47.0,17.0,7,682,2023-10-14,2023-10-22,9,-5,-5,0.0,624
652,624,2023-10-23,46.0,16.7,2023-10-29,44.0,16.2,7,682,2023-10-23,2023-11-12,21,0,0,0.0,624
653,624,2023-11-13,42.0,14.9,2023-11-19,45.0,14.4,7,682,2023-11-13,2024-03-15,124,202,202,0.0,624
654,624,2024-03-16,51.0,10.2,2024-03-22,50.0,9.3,7,682,2024-03-16,2024-04-03,19,2,2,0.0,624
655,624,2024-04-04,54.0,10.4,2024-04-10,51.0,9.7,7,682,2024-04-04,2024-04-22,19,-74,-74,0.0,624
656,624,2024-04-23,51.0,8.2,2024-04-29,46.0,8.9,7,682,2024-04-23,2024-05-24,32,142,142,0.0,624
657,624,2024-05-25,49.0,8.4,2024-05-31,48.0,8.3,7,682,2024-05-25,2024-06-01,8,-151,-151,0.0,624
658,624,2024-06-02,40.0,8.6,2024-06-08,53.0,9.2,7,682,2024-06-02,2024-06-18,17,47,47,0.0,624
659,624,2024-06-19,53.0,7.4,2024-06-25,51.0,7.6,7,682,2024-06-19,2024-07-02,14,-90,-90,0.0,624
660,624,2024-07-03,50.0,10.2,2024-07-09,48.0,10.4,7,682,2024-07-03,2024-07-24,22,-3,-3,0.0,624
661,624,2024-07-25,48.0,10.8,2024-07-31,48.0,10.6,7,682,2024-07-25,2024-08-12,19,98,98,0.0,624
662,624,2024-08-13,47.0,10.1,2024-08-19,46.0,10.0,7,682,2024-08-13,2024-08-19,7,61,61,0.0,624
663,624,2024-08-20,46.0,9.7,2024-08-26,44.0,10.0,7,682,2024-08-20,2024-10-16,58,-73,-73,0.0,624
664,624,2024-10-17,49.0,8.4,2024-10-23,49.0,8.3,7,682,2024-10-17,2024-11-04,19,-70,-70,0.0,624
665,624,2024-11-05,49.0,7.8,2024-11-11,49.0,7.5,7,682,2024-11-05,2024-12-13,39,56,56,0.0,624
666,624,2024-12-14,48.0,5.6,2024-12-20,50.0,5.3,7,682,2024-12-14,2025-02-07,56,-48,-48,0.0,624
667,624,2025-02-08,48.0,2.5,2025-02-14,48.0,2.0,7,682,2025-02-08,2025-05-01,83,-157,-157,0.0,624
668,624,2023-08-16,46.0,20.6,2023-08-22,43.0,20.4,7,684,2023-08-16,2023-08-22,7,-1,-1,0.1,624
669,624,2023-08-23,42.0,20.5,2023-08-29,44.0,20.3,7,684,2023-08-23,2023-09-21,30,0,0,0.0,624
670,624,2023-09-22,43.0,20.7,2023-09-28,43.0,21.0,7,684,2023-09-22,2024-03-17,178,-134,-134,-0.0,624
671,624,2024-03-18,51.0,9.5,2024-03-24,51.0,9.0,7,684,2024-03-18,2024-04-08,22,10,10,0.0,624
672,624,2024-04-09,51.0,10.0,2024-04-15,50.0,9.5,7,684,2024-04-09,2024-04-26,18,8,8,0.0,624
673,624,2024-04-27,50.0,9.3,2024-05-03,50.0,8.3,7,684,2024-04-27,2024-06-26,61,126,126,0.0,624
